V 0 :0.997805019101527 0.0130518763962059 -0.0649216793587203 -0.0652564338555209 0.0271070328334701 -0.99750028921355 -0.0112594192369749 0.999547401706243 0.0278991636540438 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.997484070298509 0.0430428002758951 0.0563277431863894 -0.0427189201595654 -0.999062993589211 0.00694204884002845 0.0565737672150135 0.00451832264661789 0.998388171195984 ,0.0113005227100032 -0.000705272080968371 0.0535879808898193 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.0403216022653402 -0.122530121866148 0.0408874962571506 ,19.3054904937744
V 8 :0.991006554746509 -0.130665088939187 -0.0288624953648294 -0.0283833689353956 0.00552810026426082 -0.999581868135439 0.130770013257635 0.991411400607713 0.00176957142089212 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.994657494146321 -0.100309911421637 0.0243870557951543 0.101011083151343 -0.994449346607289 0.0294544894482054 0.0212971121072769 0.0317604877054691 0.999268591403961 ,-0.720306263035073 -0.0366565849436831 -0.0806884050866632 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.762621875650044 -0.0879751206891622 -0.0113502107407865 ,19.3054904937744
V 18 :0.999593977202613 -0.002568719589185 -0.0283819168027673 -0.0283309540802143 0.0180789542749825 -0.999435143564554 0.00308038225903786 0.999833426736649 0.0179987471120623 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.999423785217724 0.0275006199905533 0.01989974241751 -0.0271820210966024 -0.999500790729361 0.0161074245684311 0.020332770422101 0.0155572257936001 0.99967223405838 ,-0.892606349424412 -0.0519398409862343 0.027146355335363 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.939083289025602 -0.0976634077785195 -0.0328859612251304 ,19.3054904937744
V 32 :0.911896652225816 0.405241084903901 -0.0649973393174721 -0.0671189080978656 -0.00898883972045084 -0.997704554392087 -0.404895150018654 0.914165911856188 0.0190023534240815 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.899864659837377 0.433792649700008 0.045475011496336 -0.432440565765577 -0.900913089841375 0.0367566336876177 0.056913785636425 0.0134107479825616 0.998289048671722 ,1.28004701459873 -0.143929226746873 -0.376550798020915 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-1.25548134808371 -0.218551301120284 -0.0102785272797065 ,19.3054904937744
V 42 :0.97585215422133 -0.218337095239148 -0.00647988370753555 -0.0188814083367198 -0.0547614200804868 -0.998320958533805 0.217615643613407 0.97433605701421 -0.0575616537246249 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.982034835806757 -0.187841671022998 0.0179866940351483 0.188699542893631 -0.977914237597305 0.0898705264838211 0.000708009116351604 0.091650053858757 0.995791018009186 ,-0.401145431701337 -0.123668616312969 0.813972017385496 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.244183041253826 -0.961613432968543 -0.0282239746593638 ,19.3054904937744
V 44 :0.983890597972146 -0.17858139348102 0.00828607575349488 0.0103406483972177 0.0105772411300823 -0.999890653056659 0.178474234978275 0.983868635393358 0.0122533948251296 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.988680298227266 -0.149507708640574 -0.0126227826833429 0.149167960163965 -0.988507091055247 0.0245591843436701 -0.0161494929343462 0.0223982594907284 0.999618709087372 ,-0.556269974043982 -0.0658000314335822 0.826137259096285 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.434400427803796 -0.987498282453041 -0.024312481860301 ,19.3054904937744
V 53 :0.98188467684228 0.183341857954263 -0.0478336705022918 -0.0727194874821499 0.131512254775714 -0.988643746208364 -0.174969072466611 0.974212650947324 0.1424623238219 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.976733975117921 0.206368932979392 0.0583296954578795 -0.211387516645184 -0.972302427975293 -0.0997151226945744 0.0361360087990761 -0.109725326299667 0.993304848670959 ,-1.20059429428994 -0.0455652541649638 -0.609449713703634 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,1.13070335931586 0.755832988289587 0.019273991342722 ,19.3054904937744
V 59 :0.968013127580292 0.249974214260922 0.0215207642128229 0.0167365040796794 0.0212491166187195 -0.999634143167726 -0.250340067004481 0.96801926198845 0.0163856473814532 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.959945074721989 0.278174375534815 -0.0335272146564876 -0.278630286781415 -0.960349318702529 0.0097002341507719 -0.0294994842261076 0.018653392791748 0.999390721321106 ,-0.157276548846651 -0.0982397126409748 0.622385322486788 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.37174472626804 -0.616286668861772 -0.0576914261824432 ,19.3054904937744
V 65 :0.99801613487352 -0.00198258745986766 -0.0629271508405218 -0.0623213311975873 0.110716040765809 -0.991896195264486 0.00893355870346588 0.993850223913837 0.110372748804519 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.99827663755347 0.0227759286420992 0.0540824322819063 -0.0268940803192232 -0.996692870621944 -0.0766816060330902 0.0521570816636086 -0.0780039504170418 0.995587766170502 ,0.856121245196355 -0.127667232456649 -0.522020950877112 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.808182183785191 0.461515666861091 0.0214137104316556 ,19.3054904937744
V 70 :0.999228675574366 0.0208215265440231 0.0333025370533261 0.024991603224898 0.317039390766509 -0.948083066508145 -0.0302987506302541 0.948184132038332 0.316274329713122 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.997660929165906 0.0590003719826415 -0.0345268406682401 -0.0467745764302172 -0.957495482289218 -0.284631294957385 -0.0498526394367218 -0.282350480556488 0.958015084266663 ,0.996801058281571 0.665494338236095 0.320723072683667 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.954821849723826 -0.614570033989686 0.521296235685938 ,19.3054904937744
V 72 :0.995727893280896 -0.0923326511784622 0.00102711876555728 0.0115097524185646 0.113070728534236 -0.993520290514777 0.0916182349728596 0.98928767803498 0.113650300363307 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.997907063556734 -0.0624308840553502 -0.0168589546762913 0.0635671073764413 -0.994891770626753 -0.0784206927448345 -0.011876960285008 -0.0793282315135002 0.996777772903442 ,0.579226026820658 0.0455006795615227 0.747611386973924 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.605486307622911 -0.768465018986679 -0.000921958072025815 ,19.3054904937744
