V 0 :0.997550141414603 -0.0256558632785086 -0.0650841230526362 -0.064318001815245 0.0296348157666499 -0.997489400238025 0.0275202035842425 0.999231692855599 0.0279119837114456 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.998381401460359 0.00426332165029703 0.0567167370259577 -0.00400116664516162 -0.999980902192467 0.00473492889225927 0.0567358322441578 0.00450033042579889 0.998379111289978 ,0.123697291390848 -0.0322732837191841 0.297656389403048 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.0853228952055448 -0.364064104331154 0.00989361408597888 ,19.3054904937744
V 12 :0.992792173403994 -0.11646009383631 -0.0283060172005662 -0.0225668311000744 0.05030731808295 -0.998478855088087 0.117706945446175 0.991920813980207 0.0473164695221893 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.996008172709705 -0.0874075003858814 0.0181126854087153 0.0871335389226172 -0.996077837369501 -0.0154006257460769 0.0193877704441547 -0.0137609234079719 0.999717354774475 ,-1.18439988491927 -0.0548125160766865 0.0844297932153044 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,1.20466957492065 -0.294467267829617 -0.0494439273611859 ,19.3054904937744
V 22 :0.964347401748583 0.255853454253035 -0.0676296490683552 -0.0819295779335351 0.0456392954405766 -0.995592622917225 -0.251639236428553 0.965638005205278 0.0649739865592307 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.956982442589377 0.282757499864601 0.0650645607276889 -0.284252584984836 -0.958635359207516 -0.0148062698782005 0.0581865906715393 -0.0326641015708447 0.997771203517914 ,0.19477884783676 -0.0716621274701369 0.27081475005715 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.0589150440000318 -0.363998019769794 -0.0361640109480251 ,19.3054904937744
V 32 :0.941094286514209 0.330937829890075 -0.069439631542969 -0.0809916850994525 0.0212275321956663 -0.996488732958021 -0.328301808940644 0.943413963034057 0.0467802291105934 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.931441882484732 0.358620142428293 0.0617067056350927 -0.358820151582392 -0.933370874147562 0.00819131484645755 0.0605328045785427 -0.0145118767395616 0.998060703277588 ,1.4588111147293 -0.182675701125776 -0.158728462489039 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-1.36905711918572 -0.378852524140753 -0.0325064676572808 ,19.3054904937744
V 41 :0.972208762153696 -0.233978101705524 -0.00801328673556101 0.00217702112691183 0.0432616768003838 -0.999061458230477 0.234105184248222 0.971278887735918 0.0425686758420938 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.978728070174582 -0.20514647038038 -0.00246436417655011 0.205159860362731 -0.978695171966439 -0.00806293207604121 -0.000757779576815665 -0.00839700736105442 0.999964475631714 ,-0.0742219815992037 -0.0649949630853985 0.63118992023187 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.0455673803865528 -0.706972079609266 -0.0482810421945395 ,19.3054904937744
V 49 :0.939097229031886 -0.341371032510964 0.0395329687275309 0.0511118642879244 0.0249876665789063 -0.998380325825642 0.339830272330721 0.939596848352451 0.0409138487412798 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.948425295906365 -0.313426422564184 -0.0474752223170917 0.3133116701684 -0.949597688823797 0.010032761273056 -0.0482268780469894 -0.00535921659320593 0.998822033405304 ,-0.927605262378793 -0.110169245257142 0.622095319290032 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.684134342387148 -0.979828674536897 -0.0523270151027185 ,19.3054904937744
V 58 :0.99672804700266 -0.0715121797111901 -0.0376825676995145 -0.0312773090234516 0.0886658872362831 -0.995570280584667 0.0745365603770775 0.993491380688638 0.0861389378915562 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.998717153818732 -0.0438654332459671 0.0253095645307916 0.0424477931985887 -0.997635072102078 -0.0540648262254224 0.0276212785393 -0.052921112626791 0.99821662902832 ,-0.74815809123065 -0.0909504946383725 -0.530642734170048 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.825942809403956 0.40640670857517 -0.0334543115120487 ,19.3054904937744
V 63 :0.985101947265954 0.171952638081928 0.00263131662852745 -0.00633424457571659 0.0515702189833534 -0.998649299954544 -0.171856070852511 0.983754691011667 0.0518910072684132 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.979544748731413 0.201070941533358 -0.00793547307443809 -0.200888637952756 -0.979422130792614 -0.0193996386913039 -0.011672880500555 -0.0174086634069681 0.999780297279358 ,0.181982953740756 -0.0695824456569904 0.703086960914711 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.000286145025943326 -0.780777568167703 -0.062486670630586 ,19.3054904937744
V 70 :0.998827387976923 -0.0390527893322158 -0.0286173426927595 -0.024286242783706 0.107193553105575 -0.993941560558342 0.0418837827265731 0.993471110486571 0.106119314138291 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.999787055566063 -0.0114246141844769 0.0171895559596092 0.0101434197520774 -0.99729083024307 -0.0728583277771207 0.0179753620177507 -0.0726684480905533 0.997194170951843 ,1.05533188034772 -0.111037445889115 -0.0339794583745785 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-1.00984746196117 0.0121870532207109 -0.037992614239014 ,19.3054904937744
V 73 :0.998646727748039 0.0433562720733641 0.0287298703982267 0.0142866379281471 0.302465832359867 -0.953053205467177 -0.0500106390485527 0.952174082748944 0.301436924983231 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.996570374697246 0.0790429306583981 -0.0244968902411939 -0.0695272078508311 -0.960312653811771 -0.270122527498998 -0.0448759384453297 -0.267492830753326 0.962514281272888 ,1.19900901250282 0.569278014179227 0.444098097981714 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-1.13336053838956 -0.724268138309921 0.400253593882999 ,19.3054904937744
V 77 :0.987188282946344 -0.157325713559233 0.0266147639039762 0.0225307239599918 -0.0276861030596764 -0.99936276684259 0.157962311515743 0.987158853878116 -0.02378682426966 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.991271863892123 -0.129338572568487 -0.0255340710281833 0.127536983060613 -0.989848264754231 0.0627300493914923 -0.0333882682025433 0.0589259825646877 0.997703850269318 ,0.469008531716156 -0.362056111688757 0.970330294579683 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.573285508680353 -0.967555515600456 -0.300933338785483 ,19.3054904937744
V 84 :0.993277313005515 -0.103938971375033 0.0509651156951786 0.0599239062537164 0.084974685841915 -0.994579582209385 0.0990448402423324 0.990947391466851 0.0906317368515786 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.995316430459433 -0.0715877296722996 -0.0649685239137511 0.0749075313893035 -0.995927067886735 -0.0501864614331403 -0.0611111558973789 -0.0548180267214775 0.996624529361725 ,-1.00285631603673 -0.392567954056673 0.667229012461091 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.990916689821958 -0.808594073123327 -0.356386915112461 ,19.3054904937744
V 90 :0.996633515486704 0.0815433244001471 0.00852231586348119 0.00556632424087593 0.0364094411456794 -0.999321466584307 -0.0817982896183486 0.996004683387506 0.0358328768443465 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.993673400887154 0.111038150172901 -0.016850658900112 -0.111002156912316 -0.993815507926343 -0.00305931473417567 -0.0170861445367336 -0.00116950017400086 0.999853312969208 ,-1.21480385355902 -0.391927624158885 -0.00809943390881033 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,1.26466820038493 0.0555965463910436 -0.3356483469036 ,19.3054904937744
V 96 :0.997808969153724 0.0567466559783069 -0.0340261588738643 -0.0308793757296042 -0.0554372725496728 -0.997984588448936 -0.0585186042372805 0.996848695739437 -0.0535635873391627 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.995817541602024 0.0890709087608181 0.0203576387015524 -0.0869315209011318 -0.992233724827671 0.0889706138155568 0.0281242206692696 0.0868287459015846 0.995826184749603 ,0.242007985964776 -0.364931153336686 -0.127739906894939 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.207589321351551 0.0307014280819291 -0.313411347541143 ,19.3054904937744
V 103 :0.888453927975401 -0.395542856914604 0.232800318683524 0.258683529297018 0.0125677370723026 -0.965880408658292 0.379121355685683 0.918361783667084 0.113486173898261 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.897423280003685 -0.361316748852391 -0.253144459667432 0.367999308736352 -0.929561616057658 0.0221812932169477 -0.243327811360359 -0.0732509717345238 0.967174172401428 ,-0.456689729269393 0.0971693699103315 0.998324527691663 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.00600270124831505 -1.18061380247696 0.135966894301038 ,19.3054904937744
